date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:48	32286/32286	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Oct%202020%2006:50:47%20GMT	https://www.rocket-internet.com/	C:/My%20Web%20Sites/Bventur%20Services/www.rocket-internet.com/index.html	(from )
14:50:48	5519/5519	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2019%20Oct%202020%2006:50:47%20GMT	https://www.rocket-internet.com/robots.txt		(from )
14:50:49	107642/107642	---M-Z	200	added ('OK')	text/css	etag:%22aabf7e49068ce57723e5da6f7a1bae88%22	https://global-uploads.webflow.com/5e998d8310343e62a9e92ada/css/introck5.webflow.1f14289be.css	C:/My%20Web%20Sites/Bventur%20Services/global-uploads.webflow.com/5e998d8310343e62a9e92ada/css/introck5.webflow.1f14289be.css	(from https://www.rocket-internet.com/)
14:50:50	611/611	---M--	200	added ('OK')	image/png	etag:%2294562c324fbd7fdb7e7b43897ce70c68%22	https://global-uploads.webflow.com/5e998d8310343e62a9e92ada/5f02b8417bc6f84cad4b4d34_favicon-32x32.png	C:/My%20Web%20Sites/Bventur%20Services/global-uploads.webflow.com/5e998d8310343e62a9e92ada/5f02b8417bc6f84cad4b4d34_favicon-32x32.png	(from https://www.rocket-internet.com/)
14:50:50	3537/3537	---M--	200	added ('OK')	image/png	etag:%22c5bf0a11f11ae288e2e1b42a34964f55%22	https://global-uploads.webflow.com/5e998d8310343e62a9e92ada/5f02bb3f6646fcd5260c17a1_favicon-256x256.png	C:/My%20Web%20Sites/Bventur%20Services/global-uploads.webflow.com/5e998d8310343e62a9e92ada/5f02bb3f6646fcd5260c17a1_favicon-256x256.png	(from https://www.rocket-internet.com/)
14:50:51	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%225eb03d5d-65c5%22	https://cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.css	C:/My%20Web%20Sites/Bventur%20Services/cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.css	(from https://www.rocket-internet.com/)
14:50:52	61325/61325	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Oct%202020%2006:50:51%20GMT	https://www.rocket-internet.com/companies	C:/My%20Web%20Sites/Bventur%20Services/www.rocket-internet.com/companies.html	(from https://www.rocket-internet.com/)
14:50:52	24825/24825	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Oct%202020%2006:50:52%20GMT	https://www.rocket-internet.com/careers	C:/My%20Web%20Sites/Bventur%20Services/www.rocket-internet.com/careers.html	(from https://www.rocket-internet.com/)
14:50:52	26197/26197	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Oct%202020%2006:50:52%20GMT	https://www.rocket-internet.com/investors	C:/My%20Web%20Sites/Bventur%20Services/www.rocket-internet.com/investors.html	(from https://www.rocket-internet.com/)
14:50:53	35213/35213	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Oct%202020%2006:50:53%20GMT	https://www.rocket-internet.com/media	C:/My%20Web%20Sites/Bventur%20Services/www.rocket-internet.com/media.html	(from https://www.rocket-internet.com/)
